anno,territorio,livello_territoriale,categoria_sport,n_spettacoli,persone,media_ps,botteghino,pubblico
2012,Veneto,regione,Attività sportiva,11096.0,1826714.0,,,
2012,Lazio,regione,Attività sportiva,2641.0,2671110.0,,,
2012,Marche,regione,Attività sportiva,6430.0,751473.0,,,
2012,Toscana,regione,Attività sportiva,31148.0,3118511.0,,,
2012,Umbria,regione,Attività sportiva,4099.0,514492.0,,,
2012,Abruzzo,regione,Attività sportiva,2281.0,646467.0,,,
2012,Basilicata,regione,Attività sportiva,515.0,51344.0,,,
2012,Calabria,regione,Attività sportiva,571.0,412107.0,,,
2012,Campania,regione,Attività sportiva,1513.0,1625076.0,,,
2012,Molise,regione,Attività sportiva,403.0,30498.0,,,
2012,Puglia,regione,Attività sportiva,1604.0,931989.0,,,
2012,Sardegna,regione,Attività sportiva,1310.0,311713.0,,,
2012,Sicilia,regione,Attività sportiva,1117.0,1105151.0,,,
2011,Liguria,regione,Attività sportiva,1958.0,1180050.0,,,
2011,Lombardia,regione,Attività sportiva,31376.0,6379805.0,,,
2011,Piemonte,regione,Attività sportiva,17036.0,2665066.0,,,
2011,Valle d'Aosta,regione,Attività sportiva,209.0,11019.0,,,
2011,Emilia-Romagna,regione,Attività sportiva,13615.0,2452739.0,,,
2011,Friuli- Venezia Giulia,regione,Attività sportiva,4835.0,729277.0,,,
2011,Trentino-Alto Adige,regione,Attività sportiva,2292.0,637014.0,,,
2011,Veneto,regione,Attività sportiva,11359.0,1982537.0,,,
2011,Lazio,regione,Attività sportiva,2543.0,2761896.0,,,
2011,Marche,regione,Attività sportiva,6076.0,779574.0,,,
2011,Toscana,regione,Attività sportiva,30818.0,3068166.0,,,
2011,Umbria,regione,Attività sportiva,4123.0,412808.0,,,
2011,Abruzzo,regione,Attività sportiva,2412.0,540203.0,,,
2011,Basilicata,regione,Attività sportiva,556.0,49937.0,,,
2011,Calabria,regione,Attività sportiva,556.0,404381.0,,,
2011,Campania,regione,Attività sportiva,1569.0,1921153.0,,,
2011,Molise,regione,Attività sportiva,568.0,43189.0,,,
2011,Puglia,regione,Attività sportiva,1597.0,1177815.0,,,
2011,Sardegna,regione,Attività sportiva,1366.0,462051.0,,,
2011,Sicilia,regione,Attività sportiva,1343.0,1185046.0,,,
2010,Liguria,regione,Attività sportiva,2514.0,1026714.0,,,
2010,Lombardia,regione,Attività sportiva,33008.0,6044404.0,,,
2010,Piemonte,regione,Attività sportiva,16749.0,2354510.0,,,
2010,Valle d'Aosta,regione,Attività sportiva,235.0,12033.0,,,
2010,Emilia-Romagna,regione,Attività sportiva,14486.0,2606885.0,,,
2010,Friuli- Venezia Giulia,regione,Attività sportiva,5692.0,734215.0,,,
2010,Trentino-Alto Adige,regione,Attività sportiva,2182.0,438879.0,,,
2010,Veneto,regione,Attività sportiva,12503.0,1940680.0,,,
2010,Lazio,regione,Attività sportiva,2663.0,2629310.0,,,
2010,Marche,regione,Attività sportiva,6641.0,836148.0,,,
2010,Toscana,regione,Attività sportiva,29026.0,3052649.0,,,
2010,Umbria,regione,Attività sportiva,4428.0,345322.0,,,
2010,Abruzzo,regione,Attività sportiva,2664.0,539024.0,,,
2010,Basilicata,regione,Attività sportiva,670.0,79669.0,,,
2010,Calabria,regione,Attività sportiva,815.0,455311.0,,,
2010,Campania,regione,Attività sportiva,2095.0,1595885.0,,,
2010,Molise,regione,Attività sportiva,712.0,60677.0,,,
2010,Puglia,regione,Attività sportiva,2120.0,1407686.0,,,
2010,Sardegna,regione,Attività sportiva,1265.0,493226.0,,,
2010,Sicilia,regione,Attività sportiva,1244.0,1271440.0,,,
2009,Liguria,regione,Attività sportiva,2477.0,1374971.0,,,
2009,Lombardia,regione,Attività sportiva,34612.0,6227014.0,,,
2009,Piemonte,regione,Attività sportiva,17729.0,2548424.0,,,
2009,Valle d'Aosta,regione,Attività sportiva,328.0,15773.0,,,
2009,Emilia-Romagna,regione,Attività sportiva,14517.0,2801092.0,,,
2009,Friuli- Venezia Giulia,regione,Attività sportiva,5308.0,810287.0,,,
2009,Trentino-Alto Adige,regione,Attività sportiva,2167.0,496964.0,,,
2009,Veneto,regione,Attività sportiva,12632.0,1838608.0,,,
2009,Lazio,regione,Attività sportiva,3209.0,3161180.0,,,
2009,Marche,regione,Attività sportiva,6319.0,907959.0,,,
2009,Toscana,regione,Attività sportiva,25759.0,3293376.0,,,
2009,Umbria,regione,Attività sportiva,4866.0,380307.0,,,
2009,Abruzzo,regione,Attività sportiva,2623.0,530277.0,,,
2009,Basilicata,regione,Attività sportiva,706.0,133953.0,,,
2009,Calabria,regione,Attività sportiva,765.0,519483.0,,,
2009,Campania,regione,Attività sportiva,2248.0,1667543.0,,,
2009,Molise,regione,Attività sportiva,447.0,56071.0,,,
2009,Puglia,regione,Attività sportiva,1856.0,1301168.0,,,
2009,Sardegna,regione,Attività sportiva,1499.0,525195.0,,,
2009,Sicilia,regione,Attività sportiva,1510.0,1055957.0,,,
2008,Liguria,regione,Attività sportiva,2459.0,1307941.0,,,
2008,Lombardia,regione,Attività sportiva,33582.0,6212812.0,,,
2008,Piemonte,regione,Attività sportiva,16164.0,2354806.0,,,
2008,Valle d'Aosta,regione,Attività sportiva,285.0,14577.0,,,
2008,Emilia-Romagna,regione,Attività sportiva,15422.0,2631280.0,,,
2008,Friuli- Venezia Giulia,regione,Attività sportiva,5470.0,789709.0,,,
2008,Trentino-Alto Adige,regione,Attività sportiva,2113.0,399798.0,,,
2008,Veneto,regione,Attività sportiva,14042.0,1763598.0,,,
2008,Lazio,regione,Attività sportiva,3240.0,2660047.0,,,
2008,Marche,regione,Attività sportiva,6656.0,781012.0,,,
2008,Toscana,regione,Attività sportiva,27171.0,3621808.0,,,
2008,Umbria,regione,Attività sportiva,4791.0,352840.0,,,
2008,Abruzzo,regione,Attività sportiva,2789.0,445726.0,,,
2008,Basilicata,regione,Attività sportiva,699.0,122640.0,,,
2008,Calabria,regione,Attività sportiva,991.0,543809.0,,,
2008,Campania,regione,Attività sportiva,2244.0,1817720.0,,,
2008,Molise,regione,Attività sportiva,485.0,51379.0,,,
2008,Puglia,regione,Attività sportiva,2317.0,1138529.0,,,
2008,Sardegna,regione,Attività sportiva,1559.0,623628.0,,,
2008,Sicilia,regione,Attività sportiva,1500.0,1275790.0,,,
2007,Liguria,regione,Attività sportiva,3244.0,1339916.0,,,
2007,Lombardia,regione,Attività sportiva,36548.0,6200709.0,,,
2007,Piemonte,regione,Attività sportiva,22915.0,2792180.0,,,
2007,Valle d'Aosta,regione,Attività sportiva,321.0,20929.0,,,
2007,Emilia-Romagna,regione,Attività sportiva,22799.0,3061765.0,,,
2007,Friuli- Venezia Giulia,regione,Attività sportiva,6513.0,496545.0,,,
2007,Trentino-Alto Adige,regione,Attività sportiva,3127.0,571522.0,,,
2007,Veneto,regione,Attività sportiva,18233.0,1832873.0,,,
2007,Lazio,regione,Attività sportiva,9857.0,3294598.0,,,
2007,Marche,regione,Attività sportiva,8152.0,802173.0,,,
2007,Toscana,regione,Attività sportiva,31536.0,3520429.0,,,
2007,Umbria,regione,Attività sportiva,5210.0,418573.0,,,
2007,Abruzzo,regione,Attività sportiva,4704.0,534731.0,,,
